index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,local_R_max,local_R_fro,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_affine_residual,cumulative_R_max
"14","Q02W","Quadrupole","Quadrupole","0.5999999999999996","0.6","3.3306690738754696e-16","1.7460056096485488e-6","1.961741398386099e-6","1","2","1.906985071589703e-9","9.550230536947701e-10","4.601896219980409e-10","0.0003857081506026816"
"15","D007","Drift","Drift","0.09432000000000063","0.09432","6.245004513516506e-16","4.54865484583733e-8","8.316960124664484e-8","1","2","1.2285149575789802e-15","2.193916421688695e-12","2.6714401524241538e-11","0.00039266573672946947"
"16","DET_02W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.00039266573672946947"
"17","D008","Drift","Drift","2.0920000000000005","2.092","4.440892098500626e-16","3.6295532357399907e-8","5.5205266005202e-8","3","4","2.0600026422744986e-13","1.133936718258682e-11","1.180444800000474e-11","0.0005466775154943093"
"18","SK_Q02W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","8.328590880846143e-8","1.0483513891820219e-7","1","2","3.1482878803945624e-11","1.3541440538333838e-11","1.1263792998902726e-11","0.0005594168615941086"
"19","D009","Drift","Drift","0.1073000000000004","0.1073","3.885780586188048e-16","4.8253746276483156e-8","9.455545492572036e-8","1","2","2.7822096911390167e-14","3.6776836018551345e-12","2.9340798887722563e-11","0.0005673319272370136"
"20","SK_Q03W","Quadrupole","Quadrupole","0.17270000000000074","0.1727","7.494005416219807e-16","8.328590880846143e-8","1.0483513891820219e-7","1","2","3.14828805386691e-11","1.3541437068886886e-11","2.1263793006378543e-11","0.000580071273336813"
"21","D010","Drift","Drift","0.43227999999999867","0.43228","1.3322676295501878e-15","4.3015515565836756e-8","5.9581770223764654e-8","5","6","7.241974944989467e-15","4.0148095792173506e-12","4.87177899204886e-12","0.0006118566733510633"
"22","B03W","SBend","SBend","2.945368","2.945367833837","1.661630002480763e-7","1.1855087754142346e-5","1.677105526696101e-5","3","3","2.204507157432229e-10","2.2930892086417756e-10","2.7825185558438825e-10","0.0007805006290412253"
"23","D011","Drift","Drift","0.3772099999999998","0.37721","1.6653345369377348e-16","4.63786024194436e-8","8.520539970846441e-8","5","4","2.770829475267388e-14","3.4793626313422976e-12","6.846075030660093e-12","0.000805769348836527"
"24","B03AW","SBend","SBend","1.643548000000001","1.6435479453577","5.4642300906238006e-8","1.0655413699156568e-5","1.5072363172710117e-5","3","3","2.1990385589209552e-10","2.1609560531775634e-10","1.7593541098807897e-10","0.0009210421676441038"
"25","D012","Drift","Drift","0.5500699999999998","0.55007","1.1102230246251565e-16","4.320792383033423e-8","7.348339241385192e-8","5","4","3.989637053444263e-14","7.217457859663712e-12","1.475201037715035e-11","0.0009701004382058898"
"26","DET_03W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0009701004382058898"
"27","D013","Drift","Drift","0.05940000000000012","0.0594","1.1796119636642288e-16","3.852864058115904e-8","7.06183722465549e-8","3","6","1.2269789857518652e-15","4.607564330072478e-12","2.0850899132285328e-11","0.0009761873643858721"
"28","Q03W","Quadrupole","Quadrupole","0.5999999999999996","0.6","3.3306690738754696e-16","6.488566217655034e-8","1.0977551283448943e-7","1","2","2.3483289965375853e-11","1.7733080628912212e-11","2.01318795991091e-10","0.0010608793138007222"
"29","D014","Drift","Drift","0.23537999999999926","0.23538","7.494005416219807e-16","4.799040185892256e-8","7.991993147484757e-8","5","4","1.2434386435134498e-17","4.739989108680509e-12","6.323358015588448e-12","0.0011034683879254104"
"30","B04W","SBend","SBend","3.237903000000001","3.237903","8.881784197001252e-16","5.600000000050009e-6","6.994656329581454e-6","3","3","1.22674327121799e-10","1.2412260185529103e-10","3.7071906829055923e-10","0.001682842441423027"
"31","D015","Drift","Drift","0.22719999999999985","0.2272","1.6653345369377348e-16","4.7272392166858894e-8","9.064758216804302e-8","1","6","1.8082630532672814e-17","5.532681951470053e-12","6.941236214280666e-12","0.0017229348312466364"
"32","SK_Q04W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","2.32660997921827e-8","3.9261844203626285e-8","5","2","4.139050213680662e-15","5.290924047219843e-12","5.291000093837848e-12","0.0017534099884763954"
"33","D016","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","3.44773084172163e-8","4.899101973855789e-8","3","6","4.375821729077483e-16","2.6918609248376916e-12","2.6922781461624547e-12","0.0018085370244840249"
"34","Q04W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","1.2188934058743328e-6","1.3337842220822067e-6","1","2","1.28550747303946e-9","6.44748226162617e-10","3.2225710598285384e-10","0.0017775978919938318"
"35","D017","Drift","Drift","0.1623999999999981","0.1624","1.887379141862766e-15","4.878192803415782e-8","9.78617332298275e-8","3","6","3.7950554388378467e-13","4.088013507217011e-12","9.001759060378589e-11","0.0017318501053109614"
"36","DET_04W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0017318501053109614"
"37","D018","Drift","Drift","0.33275000000000077","0.33275","7.771561172376096e-16","4.804435693728237e-8","7.839027705766894e-8","3","4","3.582539747046354e-13","5.6078417971295366e-12","8.450568023121718e-11","0.0016381555613067533"
"38","B05W","SBend","SBend","3.2379029999999993","3.237903","8.881784197001252e-16","0.00020359999999997047","0.00028718315004671376","4","4","4.042309182924743e-9","4.050694442745567e-9","3.2022653699868365e-10","0.001882160222100554"
"39","D019","Drift","Drift","0.22719999999999985","0.2272","1.6653345369377348e-16","4.983710980011047e-8","8.792074933755466e-8","3","4","5.040614803266015e-14","4.2120971966395915e-12","9.435865993721523e-11","0.0019385401210460507"
