index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,local_R_max,local_R_fro,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_affine_residual,cumulative_R_max
"50","Q06W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","1.4705715054574853e-6","1.5719645081225245e-6","1","2","1.8019345412971348e-9","8.970392779278358e-10","6.033880949139064e-10","0.002796010574744656"
"51","D025","Drift","Drift","0.17639999999999745","0.1764","2.55351295663786e-15","4.835848011741357e-8","8.862630132093059e-8","5","2","2.4625009777266367e-14","6.204665036965706e-12","4.509179813393105e-11","0.0028878917626329326"
"52","DET_06W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0028878917626329326"
"53","D026","Drift","Drift","0.31875100000000245","0.318751","2.4424906541753444e-15","4.0317539092384665e-8","8.116613901912458e-8","5","2","2.323479257656521e-13","4.3772492141352926e-12","4.767490807515429e-11","0.003053908598843691"
"54","B07W","SBend","SBend","3.2379029999999993","3.237903","8.881784197001252e-16","0.00011220000000000674","0.0001560936236157653","4","4","1.4028650791187728e-9","1.3959864299312099e-9","6.617341227115135e-10","0.00316828429324012"
"55","D027","Drift","Drift","0.2980090000000004","0.298009","3.885780586188048e-16","3.819729579170782e-8","5.048099364689891e-8","5","6","1.1803524732186408e-13","4.721161814288488e-12","2.8367818510899312e-11","0.003340009974762026"
"56","Q07W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","3.283877134663271e-7","3.6919664887469706e-7","1","2","1.366619456147442e-10","6.879887978761268e-11","3.08252997725713e-10","0.003534185805015966"
"57","D028","Drift","Drift","0.09239999999999782","0.0924","2.1788126858268697e-15","3.513303122038014e-8","4.9569432943570646e-8","3","4","2.908715164691357e-15","4.6915787227375105e-12","6.885701996648189e-12","0.003540105686695938"
"58","DET_07W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.003540105686695938"
"59","D029","Drift","Drift","0.06499999999999773","0.065","2.275957200481571e-15","4.0838831318249954e-8","8.362375459911742e-8","3","6","2.3044747058079025e-15","6.746553429847271e-12","1.4230037016348812e-11","0.00354425529845237"
"60","VKICK_07W","Kicker","Kicker","0.12700000000000244","0.127","2.4424906541753444e-15","2.4822591116650263e-8","5.2992088325388915e-8","5","4","2.0410701773137486e-15","5.582581272256526e-12","1.1008758141195507e-11","0.0035525133511828955"
"61","D030","Drift","Drift","0.8889999999999958","0.889","4.218847493575595e-15","4.6101371276030534e-8","9.004684864725278e-8","1","2","2.4287409930048197e-14","1.2059877911337459e-11","1.289252558878129e-11","0.0036101242656005894"
"62","WIG_W","Wiggler","Wiggler","2.355000000000004","2.355","3.9968028886505635e-15","3.95107276496276e-5","5.64051933623578e-5","4","4","2.5261400187094963e-6","2.526142339753573e-6","9.538566117517355e-12","0.0032294667510299746"
"63","D031","Drift","Drift","0.10999999999999943","0.11","5.689893001203927e-16","4.102337627982797e-8","7.100003422744406e-8","3","6","3.3358858790736665e-15","1.6342647939323506e-12","8.292816994627354e-12","0.0032259975720769773"
"64","HKICK_08W","Kicker","Kicker","0.25","0.25","0.0","4.77804006359726e-8","9.685876236492207e-8","3","6","6.002692226652304e-16","6.441510895299077e-12","1.5959182001097638e-11","0.003218149611899257"
"65","D032","Drift","Drift","0.0870000000000033","0.087","3.3029134982598407e-15","4.444841704950286e-8","7.64386016868938e-8","1","6","9.11106907164175e-16","3.7983542086509286e-12","9.235374617833081e-12","0.003215471574126383"
"66","SK_Q07W","Quadrupole","Quadrupole","0.1524000000000001","0.1524","8.326672684688674e-17","3.392693222769196e-8","5.457848600857796e-8","3","6","2.479617481099417e-12","7.373834534510695e-12","1.1533407001250613e-11","0.0032106819916002394"
"67","D033","Drift","Drift","0.35524999999999807","0.35525","1.942890293094024e-15","4.378792323178615e-8","6.64352409002848e-8","3","4","3.211300271705291e-14","4.8913732629161585e-12","5.656905499584752e-12","0.0031994452367776205"
"68","H_SEP_08W","ELSeparator","Kicker","2.442","2.442","0.0","5.667102429995907e-6","7.898825728491875e-6","1","2","5.212109258293048e-8","5.2123691995291203e-8","8.028301599904974e-10","0.003133829592308679"
"69","D034","Drift","Drift","0.4983999999999966","0.4984","3.3861802251067274e-15","2.753234314091437e-8","4.3628932934613426e-8","1","6","2.047889144686476e-13","7.527907117110821e-12","1.8577210001433433e-11","0.0031182164993361905"
"70","Q08W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","1.5020656729536341e-7","2.0150654839620605e-7","1","2","5.201762351969873e-11","3.084855808299647e-11","5.022466438510571e-10","0.0031808913149197204"
"71","D035","Drift","Drift","0.06139999999999901","0.0614","9.922618282587337e-16","4.6957613381026775e-8","8.18641948763699e-8","1","2","3.597212190725036e-15","7.441724320100818e-12","1.1438760989844823e-11","0.0031957689638052456"
"72","SEX_08W","Sextupole","Sextupole","0.27199999999999847","0.272","1.5543122344752192e-15","6.418204504698988e-6","9.041231914558745e-6","3","4","1.7665331584776065e-9","1.76440605181849e-9","5.679405920029764e-10","0.0032482392021029316"
"73","D036","Drift","Drift","0.2920000000000016","0.292","1.609823385706477e-15","2.4849833746287686e-8","4.553586281170756e-8","1","2","4.8979135213503116e-14","6.745290090370837e-12","7.92415300585915e-12","0.003318005284098202"
"74","DET_08W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.003318005284098202"
"75","D037","Drift","Drift","1.0519999999999996","1.052","4.440892098500626e-16","4.93919527601544e-8","9.500625926464746e-8","5","4","2.4910812080761002e-14","1.3312256872066936e-11","1.3113518000908912e-11","0.003569285063039551"
"76","RF_W1","RFCavity","RFCavity","1.8000000000000043","1.8","4.218847493575595e-15","4.8570193484912416e-8","1.2110901223706345e-7","3","6","4.5441814149946727e-14","6.999060155093084e-12","1.1166576005332794e-11","0.003999300050891108"
"77","D038","Drift","Drift","2.091529999999999","2.09153","1.3322676295501878e-15","4.5285050376264735e-8","7.771410206189068e-8","1","2","2.7384864605301695e-14","3.6800423819371986e-12","1.5944977976856123e-11","0.004498971779867134"
"78","RF_W2","RFCavity","RFCavity","1.7999999999999972","1.8","2.886579864025407e-15","4.857277795517161e-8","1.270648720253016e-7","3","6","2.426352218811114e-14","1.5706834755215135e-11","1.8440197001204188e-11","0.0049289074661160726"
"79","D039","Drift","Drift","1.4420000000000002","1.442","2.220446049250313e-16","4.446878369836946e-8","7.927813246717918e-8","5","4","3.4384551440261904e-14","2.842290638960243e-12","5.714437603665523e-12","0.005273455119276349"
"80","DET_09W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.005273455119276349"
"81","D040","Drift","Drift","0.023400000000002308","0.0234","2.3071822230491534e-15","3.5604258236915236e-8","7.481397730270137e-8","5","2","3.3106450454303524e-16","5.058658732789295e-12","8.982235094601165e-12","0.0052790060628602475"
"82","Q09W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","1.0199047040249098e-7","1.5615080372986635e-7","1","2","5.89157235371612e-11","3.1808812528399955e-11","4.780025069338334e-10","0.005240015123010977"
"83","D041","Drift","Drift","0.06939999999999458","0.0694","5.4262150328554526e-15","4.792881436527435e-8","8.143423721882737e-8","5","6","1.5257982344921694e-14","2.0817236823233998e-12","1.4112923002007442e-11","0.005214425689224811"
"84","SEX_09W","Sextupole","Sextupole","0.27200000000000557","0.272","5.551115123125783e-15","2.950704536897053e-5","4.1978514447460594e-5","1","2","2.4019924444210297e-8","2.4104617687287222e-8","3.874356779951134e-10","0.005158954475209754"
"85","D042","Drift","Drift","0.31799999999999784","0.318","2.1649348980190553e-15","4.601282926897099e-8","7.39956964078332e-8","3","4","3.3480174705262133e-13","6.620126423776112e-12","4.037289773328734e-11","0.005045163426220967"
"86","VKICK_10W","Kicker","Kicker","0.25500000000000256","0.255","2.55351295663786e-15","4.161406119695954e-8","8.580793642824411e-8","3","4","4.8508023563177414e-14","3.30958623408293e-12","2.2862763006566145e-11","0.0049539153330258046"
"87","D043","Drift","Drift","0.8369999999999962","0.837","3.774758283725532e-15","4.4659662190582594e-8","7.200916563921451e-8","1","2","1.9254423281173772e-13","9.725005170732257e-12","3.482228221052264e-11","0.004654422856706475"
"88","VKICK_09W","Kicker","Kicker","0.10200000000000387","0.102","3.8719027983802334e-15","3.1529965626140926e-8","4.369438610530852e-8","5","6","2.0596795995255858e-14","3.536940576846174e-12","1.181493965163316e-11","0.004617923617797004"
"89","D044","Drift","Drift","4.057169999999999","4.05717","8.881784197001252e-16","3.938823741537013e-8","7.28743519057739e-8","5","4","2.7159673613908375e-12","1.0409502154972187e-11","1.5360658925378523e-11","0.0035354376654836983"
"90","Q10W","Quadrupole","Quadrupole","0.5999999999999943","0.6","5.662137425588298e-15","5.251082650925554e-7","5.778396218523332e-7","1","2","3.0949971685788104e-10","1.5304689807149607e-10","4.0347558627473745e-10","0.0035037564824174083"
"91","D045","Drift","Drift","0.06440000000000623","0.0644","6.231126725708691e-15","4.508383130159937e-8","8.751213897686229e-8","5","6","1.2596251324050824e-14","2.536065270546811e-12","5.856764899447864e-11","0.0034822050502745228"
"92","SEX_10W","Sextupole","Sextupole","0.27199999999999847","0.272","1.5543122344752192e-15","9.069425143115595e-6","1.2985727703176567e-5","1","2","1.3717264544505728e-8","1.3710968369343157e-8","6.859593121386759e-10","0.0033868835461010605"
"93","D046","Drift","Drift","0.05089999999999861","0.0509","1.3877787807814457e-15","4.8167729534143167e-8","6.895365670618532e-8","3","4","3.746879161075357e-14","5.806306824229779e-12","6.11702650338275e-11","0.0033696911584204514"
"94","DET_10W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0033696911584204514"
"95","D047","Drift","Drift","0.48573999999999984","0.48574","1.6653345369377348e-16","3.3010910461422384e-8","6.204570312800888e-8","5","2","2.667956852925974e-13","7.020575269679925e-12","5.683487099732761e-11","0.0032308114721288916"
"96","B11W","SBend","SBend","6.574261999999997","6.574262","2.6645352591003757e-15","0.00011269763696952761","0.00015931224569447886","4","4","3.5496642219209645e-9","3.5234447461724664e-9","5.599108710108527e-10","0.006617636067048238"
"97","D048","Drift","Drift","0.22097000000000833","0.22097","8.326672684688674e-15","4.754050547672861e-8","8.608457247808767e-8","1","2","1.1811097381435407e-13","5.9468570475992855e-12","7.721359749496282e-11","0.006577009163038383"
"98","DET_11W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.006577009163038383"
"99","D049","Drift","Drift","0.20539999999999736","0.2054","2.6367796834847468e-15","3.2371984685858474e-8","5.574092160350582e-8","5","6","4.883921966330507e-13","7.118231270262024e-12","4.206194854222689e-11","0.00653914789251786"
"100","Q11W","Quadrupole","Quadrupole","0.5999999999999943","0.6","5.662137425588298e-15","1.734164025268825e-6","1.8327893016686047e-6","1","2","1.5811784643843384e-9","7.890044509666766e-10","1.3848953396827096e-10","0.0061915599244812825"
"101","D050","Drift","Drift","0.06340000000000146","0.0634","1.457167719820518e-15","3.6573765294090066e-8","5.879879592141958e-8","3","4","2.5971597901688208e-14","8.515571277636913e-12","5.42265941351483e-11","0.006130132118833842"
"102","SEX_11W","Sextupole","Sextupole","0.27200000000000557","0.272","5.551115123125783e-15","3.405360977482008e-6","7.794259384262621e-6","3","4","4.533418437827505e-9","4.525057616588599e-9","1.0045381193535263e-10","0.005732136651090514"
"103","D051","Drift","Drift","0.2684110000000004","0.268411","3.885780586188048e-16","2.828907202934161e-8","4.18685829758103e-8","3","4","1.9571096485260055e-13","5.8529171093058e-12","4.449873954558148e-12","0.0054710859230624465"
"104","B12W","SBend","SBend","6.57426199999999","6.574262","9.769962616701378e-15","9.402306686290274e-5","0.0001329494208687976","3","3","5.094225675063865e-9","5.0980763513793046e-9","7.075267799481859e-11","0.0028924808535002455"
